time_step,variable,PCA_1,PCA_2,PCA_3,PCA_4,PCA_5,PCA_6
1,mean_sea_level_pressure_mean,-2.312899385810952,1.407634139833722,1.1356299333167752,0.3919692429112897,-0.09325633763094873,0.08315332078349928
2,mean_sea_level_pressure_mean,-2.249364459800633,1.3685896700951519,1.0505701214558367,0.42544861582033944,-0.10713439972108119,0.09701515651364186
3,mean_sea_level_pressure_mean,-2.3205265673812487,0.8182255914608687,-0.018646977324782422,-0.3358615867169465,0.3339657777241459,-0.2833143613636367
4,mean_sea_level_pressure_mean,-2.2183610980371316,0.6959413090161753,-0.12834330271567893,-0.284474288931233,0.2636424358681588,-0.22288064854733852
5,mean_sea_level_pressure_mean,-2.155263436304429,0.6144537003981942,-0.19934647171998135,-0.2887087348330096,0.19492915866285768,-0.1448972793554883
6,mean_sea_level_pressure_mean,-2.0558895720081356,0.4925821826982177,-0.24316018175963366,-0.2175877555462789,0.11240677092700295,-0.04827303766775474
7,mean_sea_level_pressure_mean,-1.9710930842408063,0.39092534900955234,-0.3373275588432683,-0.2007115412620293,0.03134870063513821,0.04307703433582437
8,mean_sea_level_pressure_mean,-1.8800129269753088,0.31303828838777226,-0.37626890720787,-0.17421255908345903,-0.0172352911092406,0.11845209433267297
9,mean_sea_level_pressure_mean,-1.7427577380445094,0.22730910008791402,-0.41506828251883676,-0.15652068134321268,-0.10353516031058614,0.19554838432078978
10,mean_sea_level_pressure_mean,-1.628489596989327,0.12139285176826883,-0.4296590773925721,-0.09934742703247672,-0.12429249124916196,0.261172959378125
11,mean_sea_level_pressure_mean,-1.489628196584297,0.031563061228969055,-0.4112948071570313,-0.0909059045763397,-0.1221490242518438,0.27610003631482954
12,mean_sea_level_pressure_mean,-1.361084314676672,-0.05368443859691577,-0.4033690489352802,-0.04805104002330329,-0.13237256552698298,0.28844753329975475
13,mean_sea_level_pressure_mean,-1.2833881898167776,-0.45810513064009234,-0.24185759061748158,0.1964810007200509,-0.29646969253688676,-0.23028090054773187
14,mean_sea_level_pressure_mean,-1.1267658140075318,-0.5712634443117312,-0.1945503196874109,0.23198693406682147,-0.25057643695282167,-0.21862310192490872
15,mean_sea_level_pressure_mean,-0.9724391716671671,-0.6472247112861974,-0.15767885338866094,0.24643620990279075,-0.25293486640104135,-0.20663765137221818
16,mean_sea_level_pressure_mean,-0.7835894492522246,-0.7357451501595905,-0.0860151570170782,0.25229292485022115,-0.17749369623202263,-0.17377124129786636
17,mean_sea_level_pressure_mean,-0.6127711464543488,-0.8151797788074769,-0.0011143454512335827,0.30913091291555916,-0.12028007840838126,-0.09516886808246033
18,mean_sea_level_pressure_mean,-0.39927843292992,-0.8854027288022027,0.08147535856436836,0.3378065905766809,0.0018813485629672155,-0.03772648071330036
19,mean_sea_level_pressure_mean,-0.26853714619991553,-0.9442296263612351,0.08466340316147902,0.3249576565078217,0.09868306782986061,0.02278978808476798
20,mean_sea_level_pressure_mean,-0.08518039035888172,-0.9753543112782213,0.1291875172920233,0.3035288546186295,0.2241993141278154,0.08601127715533183
21,mean_sea_level_pressure_mean,0.1314771397586204,-1.0162639496728878,0.12738691296250582,0.29734957829333325,0.2974117570174172,0.11225830659337346
22,mean_sea_level_pressure_mean,0.2740466014771839,-0.9420243027357759,0.1025080985925142,0.23562184954275095,0.31484295312984345,0.10098425890532008
23,mean_sea_level_pressure_mean,0.5235307245385264,-0.874561283939449,0.04809631027069491,0.16018638280465294,0.3373204460075088,0.09763948390707473
24,mean_sea_level_pressure_mean,0.9063289040438575,-0.7094501134837523,0.4488310464212572,-0.45257369571413175,-0.05573453944596583,-0.06748899343145595
25,mean_sea_level_pressure_mean,1.1258981087920832,-0.5696100476475509,0.4028191021662744,-0.49101220761350167,-0.03058867263032861,-0.04350049882226234
26,mean_sea_level_pressure_mean,1.335354438788148,-0.4607870846130972,0.3821362472357603,-0.4446841619969716,-0.06722757080287574,0.03134875780155618
27,mean_sea_level_pressure_mean,1.5428187384944378,-0.3258229658693583,0.3703600699102248,-0.41735583707475615,-0.04728055771223439,0.032686504756523245
28,mean_sea_level_pressure_mean,1.747266722215427,-0.2049430763770041,0.31109005536324486,-0.3934979367140131,-0.07632284460484808,0.015202200807897338
29,mean_sea_level_pressure_mean,1.96632482547155,-0.056472598876767095,0.2044584599377594,-0.33820471043255257,-0.06378652203473921,0.03962180687695106
30,mean_sea_level_pressure_mean,2.1744227998357504,0.13636328177682175,0.09106428449752878,-0.25377012693120443,-0.10168344218942695,0.0019008468116285108
31,mean_sea_level_pressure_mean,2.354435480963854,0.3240713558919283,-0.03648382170106453,-0.20129291628824578,-0.032669440683760105,0.00039337267176696986
32,mean_sea_level_pressure_mean,2.574019197092199,0.5327963856816442,-0.09705077435535933,-0.08567715364503846,-0.050331255888053525,-0.03479706353106225
33,mean_sea_level_pressure_mean,2.747921812786397,0.7380606095264463,-0.2091969619821469,0.07473710174816682,-0.04685654960510677,-0.006573456916145415
34,mean_sea_level_pressure_mean,2.9648822370732173,0.8619363047379732,-0.24271707323982528,0.25351846478421636,0.009790404624986133,-0.012905016366929293
35,mean_sea_level_pressure_mean,3.1781343152027555,1.0306683133984351,-0.32692110399690444,0.39660250004374725,0.04950646555444584,-0.030649430822470358
36,mean_sea_level_pressure_mean,3.3704580710062206,1.1405732484612456,-0.4142063041361473,0.5363954456516342,0.10028283525619902,-0.046315092888303426
