time_step,variable,PCA_1,PCA_2,PCA_3,PCA_4,PCA_5,PCA_6,PCA_7,PCA_8,PCA_9,PCA_10,PCA_11
1,100m_orientation_of_wind_mean,-4.532908464971551,4.311266853149559,1.7238522763021067,1.6169912781728037,1.2884511296950942,-0.3422383873945815,-0.48592361389074046,0.461017638323863,0.8073464287113638,-0.2593495072099734,-0.3543530822706364
2,100m_orientation_of_wind_mean,-4.564081797552336,4.252963014387525,1.5778349826916225,1.0488272717191858,1.0529252516955174,-0.33652902258696576,-0.36754174471369516,-0.041076068510158964,0.053474553371324375,-0.10484472788010438,0.059931209731844674
3,100m_orientation_of_wind_mean,-4.612133895511686,3.832788629953612,1.3703715958293154,0.5520054414189772,0.6407796606240354,-0.2762688657716082,-0.19693699535835496,-0.12669344921567072,-0.3654976064352108,0.002343036387693817,0.37712459989443786
4,100m_orientation_of_wind_mean,-4.498478088890967,3.389174375930509,1.3750690924314213,0.044868245040571665,0.29428534019019975,0.09796498157266366,0.33972105579391926,-0.3603831321600777,-0.4589451394342883,0.25986737807959054,0.16952534405411582
5,100m_orientation_of_wind_mean,-4.378234132784459,2.978621058280942,1.1149634630916312,-0.2364130506090827,-0.1937430362656252,0.5089416047442827,0.5206125357006748,-0.4678099971992269,-0.5041953265644811,0.39916898348067525,-0.15015374338095236
6,100m_orientation_of_wind_mean,-4.421780938895822,2.221196200734048,0.7712881235050363,-0.7500212952132109,-0.695196973948925,0.5144550595230344,0.5468550907715719,-0.3317909001826299,-0.17400045360054167,0.15432119030939126,0.02551614973079255
7,100m_orientation_of_wind_mean,-4.378495496445196,1.3772420919826032,0.27686747560209,-0.8680552166952396,-1.0425112001456251,0.8159724230210663,0.49850322343147446,-0.01962628407301725,0.1551468346945651,-0.2725458523056054,-0.2962495097847551
8,100m_orientation_of_wind_mean,-4.326892116344749,0.7005036181609666,-0.20429266913836042,-0.8009794682212563,-1.0654736910253197,0.8516097722500806,0.20290296935332847,0.30670776831228574,0.3075482671853805,-0.31106016600019165,-0.2481948507303653
9,100m_orientation_of_wind_mean,-4.224907774743557,0.08199216317707833,-0.6975446734020971,-0.723048096672943,-1.0410604875085283,0.5138598050621824,-0.10419317723497536,0.651747867935923,0.26950130196504474,-0.26131953121958595,0.0638295819731171
10,100m_orientation_of_wind_mean,-4.024878169954489,-0.46464765077162545,-1.19820517828421,-0.8861150426619615,-0.7627103627447401,-0.1054473897972802,-0.5104642257277998,0.47939914400650213,0.14683117161725737,0.10592371671072057,0.4141581830439053
11,100m_orientation_of_wind_mean,-3.7851702022147578,-1.0892355320541587,-1.2912129279012752,-0.5706933092695822,-0.5152511085471819,-0.47495199169078745,-0.7880103517406195,0.2557327947410413,-0.07248369919278567,0.12683097786345815,0.5312548215240411
12,100m_orientation_of_wind_mean,-3.226393773780851,-1.7781011845343349,-1.4298250758098643,-0.6098408596479193,-0.1652531533977144,-0.9014941370654578,-0.7561294112143413,-0.036175266464928885,-0.21817905896263437,0.09277486429745559,0.07268916536183434
13,100m_orientation_of_wind_mean,-2.96036753971561,-2.1510821148878594,-1.6316351316091104,-0.540870026776995,0.038581729345176514,-0.835093051056955,-0.5020480162590547,-0.4275781383186539,-0.011076304470558728,0.2517372369330493,-0.42625968791436086
14,100m_orientation_of_wind_mean,-2.651786622936902,-2.4647917258895107,-1.7221347881232663,-0.3328995333982635,0.1922599201373266,-0.739998266927634,-0.11847991938686457,-0.4874707052355311,0.19545975335793817,0.33919066644249185,-0.5054092683942105
15,100m_orientation_of_wind_mean,-2.1920852583208377,-2.651514322292872,-1.8581427667288908,-0.23037072816520088,0.6110928409888435,-0.5518861550008285,0.4453211690056788,-0.3397863471067083,0.44221053685543155,0.020708162431026054,-0.1672790433602712
