time_step,variable,PCA_1,PCA_2,PCA_3,PCA_4,PCA_5,PCA_6
1,relative_humidity_100_max,-3.783903888240553,-1.43071516030924,2.0629775095033973,-0.1250877662213545,0.047564651805496294,-0.5567794056880601
2,relative_humidity_100_max,-3.7797211463410334,-1.5381112628616045,1.98883116061719,-0.16302067239835277,0.11560482900429159,-0.521628688996437
3,relative_humidity_100_max,-3.7024012396391472,-1.304284160460537,1.8314605343732182,-0.07152873430210134,-0.0657957666808941,-0.27764711890291577
4,relative_humidity_100_max,-3.696006095358898,-0.9896270646351343,1.4900090852530044,-0.24311386708065658,-0.19731931977514933,0.22445814453872723
5,relative_humidity_100_max,-3.6578625646947507,-0.8471641373552209,0.9880900610415756,-0.15073638003661868,-0.19458945884012083,0.559909421473021
6,relative_humidity_100_max,-3.4836379503329695,-0.8916339829668871,0.41914295755130887,0.1857001417988462,0.18094390492789178,0.4158280977402598
7,relative_humidity_100_max,-3.364071794671649,-0.8215825372045485,-0.1729676062613516,0.3181197136132181,0.2501720406351437,0.09301640479471401
8,relative_humidity_100_max,-3.183920373217497,-1.155296230899663,-0.7740125526298866,0.5324302907496201,0.2805608121010182,-0.15974085473750468
9,relative_humidity_100_max,-2.947365389423547,-0.9969749054375311,-0.6094592905738558,0.5360843843668348,0.4089422749465674,0.057165729620586664
10,relative_humidity_100_max,-2.879031004656774,-0.9716967472433843,-0.4995948837961699,0.5136201443955583,0.1628204547988254,0.4657447368734584
11,relative_humidity_100_max,-2.8154123791638543,-0.7145042569067037,-0.557542264761916,0.27873367691692374,0.11596216781401252,0.6245812462289894
12,relative_humidity_100_max,-2.9739102227553165,-0.5280958941568669,-0.964965078243494,0.12016959633137603,-0.4307744292567432,0.22483459727240604
13,relative_humidity_100_max,-3.09094734269852,-0.19321293662604508,-1.2156967850126676,-0.19980323611529058,-0.674693289832498,-0.0034791444613524705
14,relative_humidity_100_max,-3.1041259972691897,0.20219134691873317,-1.195739767102233,-0.15656011267883027,-0.5006851330869554,-0.12226752578679363
15,relative_humidity_100_max,-3.177919568997707,0.15510095576085087,-1.4533613965943257,-0.16881706433674293,-0.5888270107656238,-0.33303315303664993
16,relative_humidity_100_max,-3.150477667998725,0.23534561119749586,-1.4860859976834404,-0.278741650496184,-0.3351490941852761,-0.37044793939262666
17,relative_humidity_100_max,-2.604053099293302,0.8107769812690838,-1.1014765594568083,-0.30834033381682935,-0.07766248544880862,-0.16940061983713547
18,relative_humidity_100_max,-2.236473383677806,1.2279930790537998,-0.9558699756399394,-0.34883495086198657,0.5025999031580485,-0.2805666002283573
19,relative_humidity_100_max,-1.8502387682657866,1.6083892230443915,-0.7503417725212963,-0.29949616076553554,0.8803787581070078,-0.12305809265251347
20,relative_humidity_100_max,-1.2822288691733112,1.813145764670415,-0.4298948891872311,-0.0008558904766134156,0.7737714818411265,-0.09194142842401908
21,relative_humidity_100_max,-0.8960431044553043,2.3103283107582566,0.3610678712430262,-0.3322833786663228,0.21036969424571333,0.13789532427057233
22,relative_humidity_100_max,-0.19808613287627594,2.592188855333377,0.7204848621994315,-0.37357010423612913,-0.007736260491758416,0.22123382506427805
23,relative_humidity_100_max,0.903120680251407,2.724729880651216,1.1132834915781729,-0.27696389909294505,-0.12772219726472658,0.2922839009881994
24,relative_humidity_100_max,1.6107145916676355,2.403541655299128,1.0780704075534222,0.09181788982558907,-0.34415532182574987,0.14147152137932184
25,relative_humidity_100_max,2.309469762897963,1.9694145351373027,1.0018625399294323,0.2803917941372567,-0.24181325118297056,0.10200135684207723
26,relative_humidity_100_max,3.6293526405100613,0.9657238051910656,0.30467775655814194,0.5208866386696769,-0.39574332757866504,-0.10658549095066527
27,relative_humidity_100_max,4.12828289657028,0.6836737277819774,0.09686350438770168,0.5245565844609135,-0.25468028723339237,-0.24364144777552377
28,relative_humidity_100_max,4.5604801206243115,0.2320970126871968,-0.07007026195648168,0.46507569866269816,0.13527484241104124,-0.28215325644058215
29,relative_humidity_100_max,4.386740172815457,0.5163807493148698,0.1925623202455136,0.6791300329604044,0.00748884877958897,-0.2839178847540183
30,relative_humidity_100_max,4.951640315544373,-0.11136831591645674,-0.047320773206381755,0.360188596307961,-0.027160554553772275,-0.11715870932045243
31,relative_humidity_100_max,5.306359129685835,-0.5135145672456644,-0.09357777820027886,0.17033433977398074,-0.01257300156055937,0.02726924341584556
32,relative_humidity_100_max,5.733473585066137,-1.1793766652437292,-0.274943386109543,-0.203018350510842,0.06569265326883587,0.10710409717444064
33,relative_humidity_100_max,5.955264450148378,-1.3883502567265325,-0.26868967959417306,-0.3703851132442586,0.09138525071667616,0.08989013719687163
34,relative_humidity_100_max,6.042030536768275,-1.4794473829919321,-0.21417394674300355,-0.43617799609565644,0.007732397347600283,0.11481225140195432
35,relative_humidity_100_max,6.142307988286278,-1.6347380723469978,-0.2582565100025501,-0.512983512221182,0.12096913939947045,0.07664142258789639
36,relative_humidity_100_max,6.19860111236552,-1.7613269565344758,-0.2553429067575042,-0.556920349316441,0.11884608425529525,0.06730590252198818
