time_step,variable,PCA_1,PCA_2,PCA_3,PCA_4,PCA_5,PCA_6,PCA_7,PCA_8,PCA_9,PCA_10,PCA_11,PCA_12,PCA_13,PCA_14,PCA_15,PCA_16,PCA_17,PCA_18,PCA_19,PCA_20,PCA_21,PCA_22
1,10m_u_component_of_wind_max,5.185800045158028,3.342346418808705,2.0637500287298085,-0.4988613566586982,-0.18771831020763546,0.8765951380420005,0.061472207496317946,-0.3730619636493516,0.5963827340982188,-0.4733124180377502,-0.17201690554235952,,,,,,,,,,,
2,10m_u_component_of_wind_max,5.208526463671924,3.325249356951029,1.84324067849972,-0.29900215235817723,0.07248547105583406,0.6007455329151686,0.5024547169669447,-0.6303911980491247,0.07855383680543467,0.0641124948544983,-0.19028312128278316,,,,,,,,,,,
3,10m_u_component_of_wind_max,5.118439401483074,2.8761263543314093,1.429260464266734,-0.294471840410486,0.020337059190671657,0.34713130658983427,0.3637241757554,-0.1219146121263473,-0.5366199188129378,0.38026441002754063,0.031885121925119504,,,,,,,,,,,
4,10m_u_component_of_wind_max,4.930800233873145,2.3289083146964793,0.8069838553227078,0.020489360893431542,-0.0333696822350556,-0.45529653599601405,-0.3288419553863517,0.6375134473784876,-0.5837989054201278,0.13341054255354845,0.4767298130808219,,,,,,,,,,,
5,10m_u_component_of_wind_max,4.766804874616982,1.5157937668523582,0.12122238337239301,0.18676222277733892,-0.08945306628037976,-0.7190329814763309,-0.5382530700544479,0.8730348770954178,-0.20774485035547782,-0.21604597171611764,0.2452892856275043,,,,,,,,,,,
6,10m_u_component_of_wind_max,4.534008897143722,0.7846365613723865,-0.37657545885729204,0.2493488588004054,-0.13038936007947108,-0.8043146362224389,-0.5589956583339765,0.6591832165259136,0.13731531110218034,-0.015802903327656073,-0.2828898659179028,,,,,,,,,,,
7,10m_u_component_of_wind_max,4.336966167358821,0.1935444253167524,-1.0189802521498603,0.5835430142561646,0.29041955357544974,-0.7232037945977751,-0.223687502307467,0.23400383398998562,0.37664328512543604,0.1424739130416999,-0.4910760014632294,,,,,,,,,,,
8,10m_u_component_of_wind_max,3.9818014963858377,-0.31529807240240426,-1.3797086811536434,0.7812465820302811,0.679873171285156,-0.7254336201096043,0.11528666781033707,-0.056890264979076004,0.5127637724117904,-0.025841834049712187,-0.2137075825834845,,,,,,,,,,,
9,10m_u_component_of_wind_max,3.7887305938648654,-0.7153855887465241,-1.5878875816880105,0.6930765171862364,0.6173936490810018,-0.3405915713928873,0.19814974259709459,-0.37932672017988434,0.49244033725948216,0.28430499669054604,0.06600544746730101,,,,,,,,,,,
10,10m_u_component_of_wind_max,3.3854986496917046,-1.018553035686286,-1.5620776251063093,0.8773604011205096,0.3062002160324139,-0.010025438293701944,0.43467017941961694,-0.5262162927882016,-0.12825064041193368,0.10453506679720202,0.47632351493242736,,,,,,,,,,,
11,10m_u_component_of_wind_max,3.0227208743693557,-1.3518719573774716,-1.5634544836415092,0.6404111719390644,0.10686991107661269,0.33865386287063537,0.39314611096851576,-0.5621719796379969,-0.2049002343758365,-0.13688226055123506,0.35845248449605605,,,,,,,,,,,
12,10m_u_component_of_wind_max,2.5189463850142855,-1.6115627039025127,-1.4980652157110115,0.23256920141093987,-0.37612795603254795,0.646188566722939,0.19751591849047395,-0.22183474307422893,-0.34871091907216495,-0.2584472329493951,0.14024705717511113,,,,,,,,,,,
13,10m_u_component_of_wind_max,2.0736704111679347,-1.8325919451968975,-1.1031314987616514,-0.12308056332697792,-0.5827901145502085,0.9641688795644457,-0.13465409988240257,0.0868487824086631,-0.38654470738937746,-0.10360453074263343,-0.09720593060120328,,,,,,,,,,,
