0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
22.353352,24.010826,29.349571,29.08841,29.856382,26.014795,25.63124,27.697268,27.736053,27.167185,27.455067,28.51437,27.623142,27.502472,28.167877,28.350603,29.172878,29.197012,29.571947,31.550058,32.737785,35.059803,35.85536,34.48404,36.901733,37.328384,35.280457,36.58627,35.343376,35.177887,35.54679,36.946552,37.4344,37.384407,37.58265,39.093597,36.507835,38.562653,37.18013,39.565933
20.385584,20.657951,21.28974,22.399895,22.829132,23.02565,24.020308,23.668644,22.525736,23.645372,23.772936,24.382315,24.23665,24.847754,26.03031,26.556944,26.500057,28.934986,29.683136,30.420078,26.930157,27.440414,27.201662,27.71709,28.251482,28.6178,29.605562,29.803804,30.522648,30.654522,32.08445,32.819668,34.465076,34.723656,34.652977,34.969303,34.857254,34.908104,35.557133,36.559547
32.11548,33.94965,33.696243,34.476284,35.033947,31.361298,31.175983,32.202534,32.123238,32.664524,32.091347,31.442318,30.820871,30.098581,28.34888,26.7345,27.93171,27.72571,27.948086,28.83328,29.459036,29.72106,30.055485,30.7795,32.742958,33.127377,32.417152,33.68159,34.927067,34.065147,34.230637,34.291626,34.375233,34.091816,34.30751,34.36687,34.414524,34.511505,34.935375,34.486423
26.72048,27.57491,29.38493,33.04008,33.86358,36.016373,36.68353,36.433556,36.19194,36.62835,37.0773,39.296978,37.958485,38.274506,38.93414,34.481407,33.032555,31.70744,31.35045,36.962765,37.67005,35.24471,30.763554,36.055664,30.541168,30.808699,32.03433,31.37804,31.608786,31.50261,31.582033,31.35881,31.298616,33.068504,32.59698,33.101112,34.00654,35.91688,35.73128,36.02724
25.32012,25.7164,25.23735,25.586815,24.902102,25.37697,24.953098,24.3244,22.603,21.343094,19.405996,19.82485,20.638313,21.435894,22.435793,22.690784,23.250092,23.739174,23.355433,23.770943,22.8396,22.644802,22.777733,22.857155,22.816189,22.888088,24.277582,23.83281,23.869595,24.802612,25.240696,25.038374,25.428804,25.657042,25.70386,25.55003,25.963867,26.30497,26.276545,26.70794
15.824415,14.647276,17.543306,19.758804,19.685232,20.573103,20.558891,20.521269,20.715229,21.460138,22.125624,22.612196,23.379679,23.920593,24.064392,23.197422,23.904709,24.26086,23.515953,23.88966,25.285006,24.33694,24.31604,25.517424,25.609388,27.909325,28.286377,28.879128,30.134018,27.890095,29.265375,30.623936,30.434155,29.758636,29.165888,29.098167,27.692791,30.571264,31.76429,31.332058
23.424751,24.881903,25.332281,27.08272,27.576433,26.996048,28.445461,29.053703,30.168816,30.016369,29.918089,32.386658,34.25472,33.831425,34.075188,34.720573,35.06958,33.50099,33.46153,34.97362,34.6192,34.613785,35.444122,36.543755,37.240215,40.456318,42.09842,43.827187,46.693512,48.453236,46.42963,48.579372,49.890266,50.320526,50.738403,50.672623,50.239273,49.429054,48.652115,48.267513
29.268192,27.401617,27.47625,28.38738,27.874287,27.371298,27.377518,27.661274,27.28034,26.312458,25.811802,26.012375,26.20906,27.113195,26.651411,28.360949,27.676044,28.185253,28.237339,28.153378,28.011112,28.657143,28.639263,29.104158,29.260418,29.289183,29.408127,29.736973,30.3729,30.90543,30.516722,29.88546,30.735176,32.248028,34.021313,33.99799,34.047745,34.560062,34.754414,34.890465
23.834246,24.555634,25.427076,25.76731,25.743237,26.54567,26.540052,26.465427,27.210888,28.946552,28.637615,30.358837,29.847687,30.457537,30.979118,31.407618,31.278427,30.942207,30.540188,30.727154,29.737753,30.081997,29.758615,30.44229,30.04669,30.47519,29.97447,31.4349,31.560883,32.192398,32.056786,33.858253,33.213898,36.05291,35.501637,36.22142,36.730164,37.868816,37.774933,36.789543
27.116201,27.16836,28.188253,27.8737,29.022783,28.513239,29.359806,30.39254,28.539719,29.391102,29.196913,29.0284,28.324667,29.274748,29.036425,29.283575,28.982662,29.479368,29.286785,27.911413,28.025358,27.279898,27.40267,26.515177,27.242985,27.011082,26.039333,26.165316,26.145256,26.023285,26.274446,26.05137,27.182802,26.579372,27.001453,26.739859,25.991188,25.97193,25.752865,25.90292
37.873657,36.944176,37.268955,41.738724,40.906136,39.394382,39.54511,38.794167,38.867737,38.565384,37.242935,36.558388,36.17529,36.26052,35.60199,35.502403,35.093285,36.217457,35.10495,35.29874,34.07498,33.69368,33.198437,32.408913,32.137966,31.87509,32.07516,31.734232,31.465076,31.663355,31.917257,32.387383,32.064396,32.45198,33.735847,34.275055,34.726337,35.38756,35.539185,35.045734
39.181747,42.17834,39.74608,45.92408,49.266983,50.748234,52.765102,52.754333,53.26304,53.42543,54.91565,55.524837,54.969482,55.41359,55.490746,53.719704,51.994423,51.066734,49.063324,47.59105,46.760254,45.41897,43.641647,42.17565,40.80565,39.529858,38.629086,37.91941,37.85661,38.6883,39.427578,39.0382,38.797756,37.828796,36.6176,35.66479,34.28313,34.83759,35.355263,35.987778
34.530754,35.660305,35.277206,36.451622,37.486073,37.312916,35.89447,35.753613,35.944714,37.291386,37.519268,37.124508,35.855892,36.052376,35.383972,37.463646,37.835976,38.747513,38.211,37.852123,37.995674,38.32135,38.928745,39.94705,39.610603,39.7389,41.058655,43.132046,42.69243,43.167038,43.17511,43.874916,42.53542,42.033894,41.467773,41.046097,41.176186,41.004826,41.017387,35.536495
