time_step,variable,PCA_1,PCA_2
1,10m_u_component_of_wind_max,5.185800045158028,3.342346418808705
2,10m_u_component_of_wind_max,5.208526463671924,3.325249356951029
3,10m_u_component_of_wind_max,5.118439401483074,2.8761263543314093
4,10m_u_component_of_wind_max,4.930800233873145,2.3289083146964793
5,10m_u_component_of_wind_max,4.766804874616982,1.5157937668523582
6,10m_u_component_of_wind_max,4.534008897143722,0.7846365613723865
7,10m_u_component_of_wind_max,4.336966167358821,0.1935444253167524
8,10m_u_component_of_wind_max,3.9818014963858377,-0.31529807240240426
9,10m_u_component_of_wind_max,3.7887305938648654,-0.7153855887465241
10,10m_u_component_of_wind_max,3.3854986496917046,-1.018553035686286
11,10m_u_component_of_wind_max,3.0227208743693557,-1.3518719573774716
12,10m_u_component_of_wind_max,2.5189463850142855,-1.6115627039025127
13,10m_u_component_of_wind_max,2.0736704111679347,-1.8325919451968975
14,10m_u_component_of_wind_max,1.4753397468660214,-2.1390578307538433
15,10m_u_component_of_wind_max,0.7964436171618406,-2.1374891390711332
16,10m_u_component_of_wind_max,0.3192449688749857,-2.2709125914068236
17,10m_u_component_of_wind_max,-0.3029798471349621,-2.2341264477556178
18,10m_u_component_of_wind_max,-0.643003739641705,-2.240413768971035
19,10m_u_component_of_wind_max,-0.7573224418851242,-2.195844674465159
20,10m_u_component_of_wind_max,-1.1618534560009102,-2.326853234644635
21,10m_u_component_of_wind_max,-1.2955219455413165,-2.321438169815212
22,10m_u_component_of_wind_max,-1.6550757009129995,-2.148909444076779
23,10m_u_component_of_wind_max,-1.9847315246130814,-1.8311865280999782
24,10m_u_component_of_wind_max,-2.400948290935207,-1.5291741370779446
25,10m_u_component_of_wind_max,-2.7330219171286845,-1.31838459899668
26,10m_u_component_of_wind_max,-2.9094727749875986,-0.6205636848723427
27,10m_u_component_of_wind_max,-3.278485197613656,-0.15133814138512106
28,10m_u_component_of_wind_max,-3.601439751202315,0.7544765502884186
29,10m_u_component_of_wind_max,-3.645827389850253,1.1519951981174668
30,10m_u_component_of_wind_max,-3.9573223431751328,1.6214161202794135
31,10m_u_component_of_wind_max,-3.950741983751035,1.9474969140662197
32,10m_u_component_of_wind_max,-4.219071086863049,2.3352018534123213
33,10m_u_component_of_wind_max,-4.274939197057237,2.3327022561087603
34,10m_u_component_of_wind_max,-4.314869708526496,2.5960190407944252
35,10m_u_component_of_wind_max,-4.2106272655100945,2.471261407526818
36,10m_u_component_of_wind_max,-4.146487264371674,2.7337811557814238
