lon_east,lon_west,lat_north,lat_south
-78.052826,-86.052826,43.417347,35.417347
-74.808716,-82.808716,42.397583,34.397583
-72.486877,-80.486877,41.325058,33.325058
-70.029602,-78.029602,41.837025,33.837025
-67.17981,-75.17981,42.473595,34.473595
-64.221649,-72.221649,42.431915,34.431915
-60.433777,-68.433777,42.652679,34.652679
-56.154694,-64.154694,42.979137,34.979137
-53.211456,-61.211456,43.371037,35.371037
-50.197906,-58.197906,44.03299,36.03299
-46.868774,-54.868774,45.013443,37.013443
-43.102295,-51.102295,46.095024,38.095024
-38.924927,-46.924927,47.310276,39.310276
-35.751465,-43.751465,48.446674,40.446674
-31.605988,-39.605988,50.108662,42.108662
-28.481354,-36.481354,51.598461,43.598461
-25.600006,-33.600006,52.90189,44.90189
-22.404602,-30.404602,54.307438,46.307438
-19.0271,-27.0271,55.993389,47.993389
-15.797424,-23.797424,57.850151,49.850151
-12.575439,-20.575439,59.583748,51.583748
-9.484467,-17.484467,61.214283,53.214283
-6.581848,-14.581848,62.777161,54.777161
-3.927277,-11.927277,63.92989,55.92989
-1.464874,-9.464874,64.988335,56.988335
0.952087,-7.047913,65.899704,57.899704
3.57196,-4.42804,66.679199,58.679199
5.564594,-2.435406,67.241714,59.241714
8.020221,0.020221,67.6022,59.6022
10.259104,2.259104,68.07209,60.07209
12.225853,4.225853,68.255882,60.255882
15.142595,7.142595,68.357948,60.357948
18.271872,10.271872,68.324715,60.324715
21.300745,13.300745,68.031876,60.031876
24.064486,16.064486,67.432472,59.432472
26.872005,18.872005,66.906754,58.906754
29.606441,21.606441,66.507347,58.507347
31.925079,23.925079,66.075001,58.075001
33.462156,25.462156,65.959084,57.959084
35.826723,27.826723,65.685917,57.685917
38.433716,30.433716,65.429764,57.429764
41.157219,33.157219,65.352425,57.352425
44.076927,36.076927,65.094288,57.094288
45.442841,37.442841,65.031391,57.031391
46.970425,38.970425,65.339336,57.339336
48.707798,40.707798,65.58279,57.58279
49.263973,41.263973,65.464081,57.464081
49.753708,41.753708,65.364895,57.364895
51.274204,43.274204,65.521591,57.521591
52.557941,44.557941,65.077145,57.077145
53.468685,45.468685,63.931725,55.931725
54.166424,46.166424,63.345478,55.345478
55.311089,47.311089,63.218601,55.218601
56.568554,48.568554,62.445698,54.445698
58.250328,50.250328,61.273506,53.273506
59.501766,51.501766,60.594589,52.594589
60.843544,52.843544,60.04026,52.04026
61.911613,53.911613,59.69276,51.69276
63.847557,55.847557,59.371231,51.371231
64.797249,56.797249,59.023064,51.023064
66.685524,58.685524,58.60183,50.60183
